USER_ID,VERSION,EMAIL,NAME,PASSWD_CHG_DT,PASSWD_EXP_DT,IP_ADDRESSES,IS_ACTIVE,IS_PASSWD_RESET,BUSINESS_GROUP_ID,CREATED_DATE,CREATED_BY_ID,CREATED_BY_NAME,MODIFIED_DATE,MODIFIED_BY_ID,MODIFIED_BY_NAME,LOCALE,ENABLED,ACCEPTED_CONTRACT,SOURCE_ID,PRIMARY_ROLE_TYPE,ACTIVATED_DATE,IS_INTERNAL_USER,USER_UUID,EU_MIGRATION_STATUS
2555906416,0,postmig2@gggmailat.com,migpost,,,,1,0,,2025-04-09T12:56:05Z,2450958636,admin,2025-10-10T06:42:37Z,2450958636,admin,en_US,1,,30,INDIVIDUAL_PAYEE,2025-10-09,,3259115CCFA69902E063E52E13AC7507,
2642206481,0,testuser00000399012@gmail.com,testser309,,,,1,0,,2025-07-03T18:43:41Z,2450958636,admin,2025-12-03T08:51:48Z,2450958636,admin,en_US,0,,,INDIVIDUAL_PAYEE,2025-07-04,,390BC5D0FE085A2CE063E52E13AC1A2B,
2642411790,0,sdsdsd@gkl.com,ssjhbjs,,,,1,0,,2025-07-08T08:20:24Z,2450958636,admin,2025-07-08T08:20:24Z,2450958636,admin,,0,,30,INDIVIDUAL_PAYEE,,,3967A1D382A8A54CE063E52E13AC2D36,
2565369985,0,User1123@iammultipodintup.com,User1,,,,1,0,,2025-06-02T10:36:17Z,2450958636,admin,2025-06-16T10:29:30Z,2450958636,admin,en_US,1,,30,INDIVIDUAL_PAYEE,2025-06-02,,369555797DF8BF4AE063E52E13AC0A3C,
2565369987,0,User33333@iammultipodintup.com,User3,,,,1,0,,2025-06-02T10:36:17Z,2450958636,admin,2025-06-16T10:29:30Z,2450958636,admin,en_US,1,,30,INDIVIDUAL_PAYEE,2025-06-02,,369555797DF9BF4AE063E52E13AC0A3C,
2472071333,0,tetUser101@iamMultipodInt.com,tetUser101,,,,1,0,,2024-10-22T07:34:47Z,2450958636,admin,2024-10-22T07:34:47Z,2450958636,admin,en_US,1,,30,INDIVIDUAL_PAYEE,2024-10-22,,250CCDCBFD249091E063E12A13ACFBF0,
2472071335,0,tetUser102@iamMultipodInt.com,tetUser102,,,,1,0,,2024-10-22T07:34:47Z,2450958636,admin,2024-10-22T07:34:47Z,2450958636,admin,en_US,1,,30,INDIVIDUAL_PAYEE,2024-10-22,,250CCDCBFD259091E063E12A13ACFBF0,
2472071337,0,tetUser103@iamMultipodInt.com,tetUser103,,,,1,0,,2024-10-22T07:34:47Z,2450958636,admin,2024-10-22T07:34:47Z,2450958636,admin,en_US,1,,30,INDIVIDUAL_PAYEE,2024-10-22,,250CCDCBFD269091E063E12A13ACFBF0,
2472071339,0,tetUser104@iamMultipodInt.com,tetUser104,,,,1,0,,2024-10-22T07:34:47Z,2450958636,admin,2024-10-22T07:34:47Z,2450958636,admin,en_US,1,,30,INDIVIDUAL_PAYEE,2024-10-22,,250CCDCBFD279091E063E12A13ACFBF0,
2472071341,0,tetUser105@iamMultipodInt.com,tetUser105,,,,1,0,,2024-10-22T07:34:47Z,2450958636,admin,2024-10-22T07:34:47Z,2450958636,admin,en_US,1,,30,INDIVIDUAL_PAYEE,2024-10-22,,250CCDCBFD289091E063E12A13ACFBF0,
